close,contract,date,open,rolled
3569.0,IF2404.CCFX,2024-04-18,3552.2,0
3542.0,IF2405.CCFX,2024-04-19,3564.0,1
3535.6,IF2405.CCFX,2024-04-22,3544.8,0
3494.8,IF2406.CCFX,2024-04-23,3519.8,1
3509.0,IF2406.CCFX,2024-04-24,3510.0,0
3517.4,IF2406.CCFX,2024-04-25,3500.2,0
3573.6,IF2406.CCFX,2024-04-26,3527.4,0
3624.2,IF2406.CCFX,2024-04-29,3577.0,0
3600.6,IF2406.CCFX,2024-04-30,3624.0,0
3644.4,IF2406.CCFX,2024-05-06,3651.4,0
3645.6,IF2406.CCFX,2024-05-07,3644.0,0
3614.6,IF2406.CCFX,2024-05-08,3637.2,0
3650.0,IF2406.CCFX,2024-05-09,3618.2,0
3650.0,IF2406.CCFX,2024-05-10,3657.2,0
3648.8,IF2406.CCFX,2024-05-13,3630.0,0
3641.2,IF2406.CCFX,2024-05-14,3655.2,0
3616.0,IF2406.CCFX,2024-05-15,3641.2,0
3623.0,IF2406.CCFX,2024-05-16,3627.2,0
3669.0,IF2406.CCFX,2024-05-17,3628.0,0
3675.0,IF2406.CCFX,2024-05-20,3676.2,0
3662.2,IF2406.CCFX,2024-05-21,3663.4,0
3666.4,IF2406.CCFX,2024-05-22,3662.2,0
3629.2,IF2406.CCFX,2024-05-23,3654.2,0
3589.0,IF2406.CCFX,2024-05-24,3618.8,0
3617.4,IF2406.CCFX,2024-05-27,3598.6,0
3596.4,IF2406.CCFX,2024-05-28,3612.8,0
3596.2,IF2406.CCFX,2024-05-29,3598.2,0
3586.0,IF2406.CCFX,2024-05-30,3590.0,0
3571.8,IF2406.CCFX,2024-05-31,3596.0,0
3572.6,IF2406.CCFX,2024-06-03,3570.0,0
3597.6,IF2406.CCFX,2024-06-04,3570.2,0
3584.0,IF2406.CCFX,2024-06-05,3593.0,0
3584.4,IF2406.CCFX,2024-06-06,3598.0,0
3558.8,IF2406.CCFX,2024-06-07,3595.0,0
3536.6,IF2406.CCFX,2024-06-11,3548.0,0
3531.2,IF2406.CCFX,2024-06-12,3533.4,0
3517.6,IF2406.CCFX,2024-06-13,3536.8,0
3533.6,IF2406.CCFX,2024-06-14,3512.6,0
3527.6,IF2406.CCFX,2024-06-17,3515.2,0
3537.2,IF2406.CCFX,2024-06-18,3533.8,0
3527.6,IF2406.CCFX,2024-06-19,3541.4,0
3505.0,IF2406.CCFX,2024-06-20,3529.8,0
3463.0,IF2407.CCFX,2024-06-21,3474.4,1
3450.0,IF2407.CCFX,2024-06-24,3446.0,0
3427.8,IF2407.CCFX,2024-06-25,3453.6,0
3447.2,IF2407.CCFX,2024-06-26,3426.0,0
3430.0,IF2407.CCFX,2024-06-27,3438.6,0
3435.4,IF2407.CCFX,2024-06-28,3425.0,0
3448.6,IF2407.CCFX,2024-07-01,3438.0,0
3444.6,IF2407.CCFX,2024-07-02,3441.4,0
3438.2,IF2407.CCFX,2024-07-03,3449.8,0
3419.0,IF2407.CCFX,2024-07-04,3445.0,0
3404.8,IF2407.CCFX,2024-07-05,3423.0,0
3379.2,IF2407.CCFX,2024-07-08,3397.8,0
3418.2,IF2407.CCFX,2024-07-09,3378.8,0
3412.4,IF2407.CCFX,2024-07-10,3416.0,0
3455.8,IF2407.CCFX,2024-07-11,3437.6,0
3461.6,IF2407.CCFX,2024-07-12,3455.4,0
3461.0,IF2407.CCFX,2024-07-15,3456.0,0
3485.8,IF2407.CCFX,2024-07-16,3461.0,0
3493.2,IF2407.CCFX,2024-07-17,3485.2,0
3515.2,IF2407.CCFX,2024-07-18,3478.0,0
3510.2,IF2408.CCFX,2024-07-19,3482.6,1
3492.4,IF2408.CCFX,2024-07-22,3515.0,0
3421.0,IF2409.CCFX,2024-07-23,3480.6,1
